지역,사업장명,의사수,위도,경도
수지구,하나치과의원,1.0,37.3325208777,127.127689234
수지구,피터소아청소년과의원,2.0,37.3401855678,127.0929929395
기흥구,서울조이치과의원,1.0,37.3003023414,127.1072783973
처인구,베스트내과의원,2.0,37.2698530802,127.2179135082
기흥구,보스톤가족치과의원,1.0,37.27663057,127.0730879665
수지구,의선한의원,2.0,37.3401855678,127.0929929395
수지구,광교신경과의원,1.0,37.2960777478,127.0692547673
기흥구,금화한의원,1.0,37.2633041773,127.1085081622
수지구,송한의원,1.0,37.2981442289,127.0698861201
수지구,광교웃음진치과의원,1.0,37.2976750233,127.0697533954
수지구,바른뜸한의원,1.0,37.3168060655,127.0682562124
수지구,새연세소아청소년과의원,1.0,37.3213161683,127.0920112094
수지구,정성가득미소치과의원,1.0,37.3084428246,127.0761919997
수지구,해오름치과의원,1.0,37.3279471819,127.0682489097
수지구,뉴욕미치과의원,1.0,37.3319646446,127.1228267751
수지구,김용한내과의원,1.0,37.3168060655,127.0682562124
수지구,수지서울안과의원,2.0,37.3067600253,127.0846083156
수지구,"인,인치과의원",1.0,37.3218371307,127.0940964234
수지구,곽정아산부인과의원,1.0,37.3231017192,127.0948684138
수지구,수지열린치과의원,1.0,37.3242575781,127.0774237798
수지구,연세치과의원,1.0,37.3319939507,127.1235377839
수지구,진내과의원,1.0,37.3147832072,127.0926220849
수지구,제일가정의원,2.0,37.3357298765,127.1054571627
수지구,상아치과의원,1.0,37.3243180707,127.0973563156
수지구,샘치과의원,1.0,37.3267375156,127.1119605716
수지구,더공감정신건강의학과의원,1.0,37.3125953981,127.0804570894
수지구,수지오치과의원,1.0,37.3084918084,127.0849260435
처인구,동서의원,1.0,37.1403049454,127.1969456003
수지구,셀린의원,1.0,37.3217336429,127.0954626627
기흥구,타토아의원 용인점,1.0,37.2767026422,127.1530508698
수지구,우리들치과의원,1.0,37.3271642293,127.1128952359
기흥구,다나한의원,1.0,37.2441046789,127.1058789345
수지구,클럽제이의원,1.0,37.3377850119,127.0767609756
수지구,꾸러기소아청소년과의원,1.0,37.3088716507,127.0852850661
수지구,고호치과의원,1.0,37.3094689666,127.085970158
처인구,천리바른마음치과의원,2.0,37.1919819222,127.2072628766
기흥구,조정형외과의원,2.0,37.2717653181,127.1049001363
처인구,드림이비인후과의원,1.0,37.2698530802,127.2179135082
수지구,경희도담한의원,1.0,37.3275254798,127.1131078452
수지구,플러스건강가정의학과의원,1.0,37.327377151,127.095703308
기흥구,미소가있는치과의원,1.0,37.2999266432,127.108149171
수지구,서울새이치과의원,1.0,37.3382501682,127.1016959956
수지구,유영일내과의원,1.0,37.327054069,127.1122862794
수지구,아오스치과의원,1.0,37.327054069,127.1122862794
수지구,흰돌치과의원,1.0,37.3408922649,127.0993338258
처인구,인플란트치과의원,2.0,37.2346077173,127.2029381618
수지구,프라임치과의원,1.0,37.3403941778,127.0986478168
수지구,고운치과의원,1.0,37.3312494795,127.1275487633
수지구,아름담피부과의원,1.0,37.3234111964,127.0957471295
수지구,우리이비인후과의원,1.0,37.3403048341,127.0962323575
기흥구,코아이비인후과의원,1.0,37.2699544713,127.1541758912
수지구,용인한의원,7.0,37.3222128738,127.0959002755
수지구,수지경희한의원,1.0,37.3131101297,127.0781858757
수지구,반석정형외과의원,1.0,37.3284691292,127.1150106194
수지구,힐링의원,2.0,37.3134187664,127.0787935621
처인구,용인보스톤치과의원,1.0,37.2352180257,127.1948073879
수지구,연세푸른정신건강의학과의원,1.0,37.2985199322,127.0690941599
처인구,소나무정형외과의원,1.0,37.2698530802,127.2179135082
수지구,리본산부인과의원,1.0,37.3319939507,127.1235377839
기흥구,동백굿모닝한의원,1.0,37.2697733373,127.1538834683
수지구,봄소아청소년과의원,2.0,37.3231779493,127.0779941675
수지구,삼성코랄이비인후과의원,3.0,37.3359720542,127.0918190663
수지구,애이치한의원,1.0,37.3125737254,127.0794302513
기흥구,꿈이든소아청소년과의원,2.0,37.2725950078,127.1187693407
수지구,청뇌한의원,1.0,37.3319501026,127.1239218006
기흥구,올리브소아청소년과의원,1.0,37.3207560951,127.1131199759
수지구,동천뉴욕치과의원,1.0,37.340503567,127.0990084969
기흥구,연세레이치과의원,2.0,37.2709272487,127.1022764972
수지구,장그린내과의원,1.0,37.323417237,127.0975191384
기흥구,기흥한의원,1.0,37.2768504126,127.1162324552
처인구,금.란산부인과의원,2.0,37.234513555,127.2085753586
기흥구,엠플러스병원,15.0,37.2764039945,127.1526461647
기흥구,은송한의원,1.0,37.2664848226,127.1081195101
수지구,해맑은소아청소년과의원,2.0,37.3231779493,127.0779941675
기흥구,용인마디튼튼재활의학과의원,1.0,37.2944974808,127.1183316471
수지구,광교한의원,2.0,37.2983878864,127.0699637146
수지구,이랑사랑치과의원,1.0,37.3359720542,127.0918190663
처인구,한일의원,2.0,37.1654329203,127.3744579094
처인구,양지한의원,1.0,37.2343676476,127.2834441829
기흥구,맑고고운의원,1.0,37.2699544713,127.1541758912
기흥구,이건내과의원,2.0,37.2805493101,127.1116789191
수지구,좋은꿈한의원,1.0,37.3359720542,127.0918190663
처인구,서울온그린치과의원,1.0,37.2362683106,127.1896622501
기흥구,신동석한의원,1.0,37.2759130636,127.0715918075
기흥구,노블클래식의원,1.0,37.2543217861,127.1098852831
수지구,수지힘찬한의원,2.0,37.323905523,127.095326864
수지구,동천연세소아청소년과의원,1.0,37.3356619393,127.0933785874
수지구,도담주니어치과의원,1.0,37.3279796674,127.1141778361
기흥구,연세허브치과의원,1.0,37.2998077073,127.10761947
수지구,성복한의원,1.0,37.315535965,127.0759716093
기흥구,건한의원,1.0,37.3207431497,127.1146775783
